Noise FailRate
0.0000010000 0.0000000000
0.0000020000 0.0000000000
0.0000030000 0.0000000000
0.0000040000 0.0000000000
0.0000050000 0.0000000000
0.0000060000 0.0000000000
0.0000070000 0.0000000000
0.0000080000 0.0000000000
0.0000090000 0.0000000000
0.0000100000 0.0000000000
0.0000110000 0.0000000000
0.0000120000 0.0000000000
0.0000130000 0.0000000000
0.0000140000 0.0000000000
0.0000150000 0.0000000000
0.0000160000 0.0000000000
0.0000170000 0.0000000000
0.0000180000 0.0000000000
0.0000190000 0.0000000000
0.0000200000 0.0000000000
0.0000210000 0.0000000000
0.0000220000 0.0000000000
0.0000230000 0.0000000000
0.0000240000 0.0000000000
0.0000250000 0.0000000000
0.0000260000 0.0000000000
0.0000270000 0.0000000000
0.0000280000 0.0000000000
0.0000290000 0.0000000000
0.0000300000 0.0000000000
0.0000310000 0.0000000000
0.0000320000 0.0000000000
0.0000330000 0.0000000000
0.0000340000 0.0000000000
0.0000350000 0.0000000000
0.0000360000 0.0000000000
0.0000370000 0.0000000000
0.0000380000 0.0000000000
0.0000390000 0.0000000000
0.0000400000 0.0000000000
0.0000410000 0.0000000000
0.0000420000 0.0000000000
0.0000430000 0.0000000000
0.0000440000 0.0000000000
0.0000450000 0.0000000000
0.0000460000 0.0000000000
0.0000470000 0.0000000000
0.0000480000 0.0000000000
0.0000490000 0.0000000000
0.0000500000 0.0000000000
0.0000510000 0.0000000000
0.0000520000 0.0000000000
0.0000530000 0.0000000000
0.0000540000 0.0000000000
0.0000550000 0.0000000000
0.0000560000 0.0000000000
0.0000570000 0.0000000000
0.0000580000 0.0000000000
0.0000590000 0.0000000000
0.0000600000 0.0000000000
0.0000610000 0.0000000000
0.0000620000 0.0000000000
0.0000630000 0.0000000000
0.0000640000 0.0000000000
0.0000650000 0.0000000000
0.0000660000 0.0000000000
0.0000670000 0.0000000000
0.0000680000 0.0000000000
0.0000690000 0.0000000000
0.0000700000 0.0000000000
0.0000710000 0.0000000000
0.0000720000 0.0000000000
0.0000730000 0.0000000000
0.0000740000 0.0000000000
0.0000750000 0.0000000000
0.0000760000 0.0000000000
0.0000770000 0.0000000000
0.0000780000 0.0000000000
0.0000790000 0.0000000000
0.0000800000 0.0000000000
0.0000810000 0.0000000000
0.0000820000 0.0000000000
0.0000830000 0.0000000000
0.0000840000 0.0000000000
0.0000850000 0.0000000000
0.0000860000 0.0000000000
0.0000870000 0.0000000000
0.0000880000 0.0000000000
0.0000890000 0.0000000000
0.0000900000 0.0000000000
0.0000910000 0.0000000000
0.0000920000 0.0000000000
0.0000930000 0.0000000000
0.0000940000 0.0000000000
0.0000950000 0.0000000000
0.0000960000 0.0000000000
0.0000970000 0.0000000000
0.0000980000 0.0000000000
0.0000990000 0.0000000000
0.0001000000 0.0000000000
