Noise FailRate
0.0001000000 0.0000000000
0.0002000000 0.0000000000
0.0003000000 0.0000000030
0.0004000000 0.0000000010
0.0005000000 0.0000000010
0.0006000000 0.0000000020
0.0007000000 0.0000000090
0.0008000000 0.0000000080
0.0009000000 0.0000000090
0.0010000000 0.0000000260
0.0011000000 0.0000000230
0.0012000000 0.0000000330
0.0013000000 0.0000000460
0.0014000000 0.0000000470
0.0015000000 0.0000000530
0.0016000000 0.0000000570
0.0017000000 0.0000000650
0.0018000000 0.0000000780
0.0019000000 0.0000000930
0.0020000000 0.0000000980
0.0021000000 0.0000001220
0.0022000000 0.0000001370
0.0023000000 0.0000001640
0.0024000000 0.0000001610
0.0025000000 0.0000001760
0.0026000000 0.0000001770
0.0027000000 0.0000002060
0.0028000000 0.0000002270
0.0029000000 0.0000002650
0.0030000000 0.0000002930
0.0031000000 0.0000002850
0.0032000000 0.0000003100
0.0033000000 0.0000003310
0.0034000000 0.0000003810
0.0035000000 0.0000004000
0.0036000000 0.0000003650
0.0037000000 0.0000004280
0.0038000000 0.0000004180
0.0039000000 0.0000004430
0.0040000000 0.0000005080
0.0041000000 0.0000005190
0.0042000000 0.0000005130
